username|to|text|retweets|favorites|replies|id|permalink|author_id|date|formatted_date|mentions|hashtags|geo|urls
earthquakevt|None|A strong #earthquake of magnitude Mww=5.8, was registered in "Central East Pacific Rise". Depth: 10 KM. More info: https://on.doi.gov/2LYlqPw *NO #tsunami is expected. #EQVT, #quake, #seísmo, #sismo, #temblor, #terremoto, #séisme.pic.twitter.com/MtTUoKBBSq|2|3|0|1129169741858398208|https://twitter.com/earthquakevt/status/1129169741858398208|352358792|2019-05-16 23:40:20+00:00|Thu May 16 23:40:20 +0000 2019||#earthquake #tsunami #EQVT #quake #seísmo #sismo #temblor #terremoto #séisme||https://on.doi.gov/2LYlqPw
earthquakevt|None|#ElSalvador: Un sismo moderado de magnitud mb=4.8, se registró a 151 KM al SSW de #PuertoElTriunfo, departamento de #Usulután. Tuvo una profundidad de 10 KM. More info: https://on.doi.gov/2LPZztr ¿Sintió el sismo?, ¡cuéntanos!. #EQVT, #earthquake, #séismo, #sismo, #temblor, #terremoto. pic.twitter.com/wigBDVbZMF|10|7|0|1129162986483081218|https://twitter.com/earthquakevt/status/1129162986483081218|352358792|2019-05-16 23:13:29+00:00|Thu May 16 23:13:29 +0000 2019||#ElSalvador #PuertoElTriunfo #Usulután #EQVT #earthquake #séismo #sismo #temblor #terremoto||https://on.doi.gov/2LPZztr
ElMAQUINAJULIAN|None|#Sismo 5.2 en #Perú ( #Tacna) y en #Chile ( #Arica) - 16 de Mayo del 2019 - #Temblor #norte #caturrito #caturritotv #temblor #temblores #temblo #movimiento #placas #tectonico #terremoto #arequipa #chileno #peruano ... https://youtu.be/k6KdUUFTD8s vía @YouTube|0|0|0|1129086349049520128|https://twitter.com/ElMAQUINAJULIAN/status/1129086349049520128|944622152929677313|2019-05-16 18:08:57+00:00|Thu May 16 18:08:57 +0000 2019|@YouTube|#Sismo #Perú #Tacna #Chile #Arica #Temblor #norte #caturrito #caturritotv #temblor #temblores #temblo #movimiento #placas #tectonico #terremoto #arequipa #chileno #peruano||https://youtu.be/k6KdUUFTD8s
ElMAQUINAJULIAN|None|#Sismo 6.2 en #El Salvador y #Nicaragua - 16 de Mayo del 2019 - #Temblor #terremoto #fuerte #san #salvador #sansalvador #leon #managua #sanmiguel #temblo #momento #video #caturritotv #caturrito #vamoscaturrito https://youtu.be/oVVmxA9uDQM vía @YouTube|0|0|0|1129083561083133952|https://twitter.com/ElMAQUINAJULIAN/status/1129083561083133952|944622152929677313|2019-05-16 17:57:52+00:00|Thu May 16 17:57:52 +0000 2019|@YouTube|#Sismo #El #Nicaragua #Temblor #terremoto #fuerte #san #salvador #sansalvador #leon #managua #sanmiguel #temblo #momento #video #caturritotv #caturrito #vamoscaturrito||https://youtu.be/oVVmxA9uDQM
EarthquakeChil1|None|Preliminar Fuerte #Terremoto EL SALVADOR 2019-05-16, 11:22 hora local. Magnitud 6.3. #NoticiaEnDesarrollo #Temblor #Sismo|83|56|4|1129060727350804480|https://twitter.com/EarthquakeChil1/status/1129060727350804480|994000556724248578|2019-05-16 16:27:08+00:00|Thu May 16 16:27:08 +0000 2019||#Terremoto #NoticiaEnDesarrollo #Temblor #Sismo||
ChileAlertaApp|None|Aviso de nuevo boletín de #Tsunami. 5.2 - 48 KM AL N DE ARICA. 16/05/2019 10:32 - Informativo. #ARICA App: https://goo.gl/XWHGvS #Terremoto #sismo #temblor #Earthquake #SHOApic.twitter.com/BLAW0aQwG5|8|6|0|1129035167660744708|https://twitter.com/ChileAlertaApp/status/1129035167660744708|860969331294949376|2019-05-16 14:45:35+00:00|Thu May 16 14:45:35 +0000 2019||#Tsunami #ARICA #Terremoto #sismo #temblor #Earthquake #SHOApic||https://goo.gl/XWHGvS
earthquakevt|None|#Perú: Un sismo moderado de magnitud ML=5.2, se registró a 17 KM al Oeste de #Tacna, departamento de #Tacna. Tuvo una profundidad de 97 KM. [PRELIM.]. Fuente: CSN. ¿Sintió el sismo?, ¡cuéntanos!. #EQVT, #quake, #earthquake, #seísmo, #sismo, #temblor, #terremoto. pic.twitter.com/1dxf4kUUXh|7|6|1|1129034009776984064|https://twitter.com/earthquakevt/status/1129034009776984064|352358792|2019-05-16 14:40:59+00:00|Thu May 16 14:40:59 +0000 2019||#Perú #Tacna #Tacna #EQVT #quake #earthquake #seísmo #sismo #temblor #terremoto||
ChileAlertaApp|None|Atención En este momento esta ocurriendo un evento sísmico en la región de #Arica y #Parinacota. https://goo.gl/XWHGvS #Temblor #Sismo #Terremoto ID:2WQVK|1|4|0|1129032514268487680|https://twitter.com/ChileAlertaApp/status/1129032514268487680|860969331294949376|2019-05-16 14:35:02+00:00|Thu May 16 14:35:02 +0000 2019||#Arica #Parinacota #Temblor #Sismo #Terremoto||https://goo.gl/XWHGvS
ChileAlertaApp|None|Atención En este momento esta ocurriendo un evento sísmico en la región del #Bíobío. https://goo.gl/XWHGvS #Temblor #Sismo #Terremoto ID:ydPxm|1|0|1|1129013503958949889|https://twitter.com/ChileAlertaApp/status/1129013503958949889|860969331294949376|2019-05-16 13:19:30+00:00|Thu May 16 13:19:30 +0000 2019||#Bíobío #Temblor #Sismo #Terremoto||https://goo.gl/XWHGvS
AlertaVR|sismos_dot_cl|#Sismo #SismoChile #Temblor 3.2 – 68 km al NE de Calama https://goo.gl/fb/jkdSPD #Terremoto #Temblor #sismos #chile #sismo https://twitter.com/sismos_dot_cl/status/1128916082188800000 …|0|0|0|1128927380804968448|https://twitter.com/AlertaVR/status/1128927380804968448|3426754877|2019-05-16 07:37:16+00:00|Thu May 16 07:37:16 +0000 2019||#Sismo #SismoChile #Temblor #Terremoto #Temblor #sismos #chile #sismo||https://goo.gl/fb/jkdSPD,https://twitter.com/sismos_dot_cl/status/1128916082188800000
